Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-04-12 00:00:00+00:00	1	1.22222222222	-0.666666666667	-6.0	1.22222222222	11.0	11.0	-0.666666666667	-6.0
2001-04-13 00:00:00+00:00	8	0.125	0.53125	1.125	1.0	0.125	1.0	4.25	9.0
2001-04-14 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-04-15 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-04-16 00:00:00+00:00	3	0.166666666667	0.166666666667	0.666666666667	0.5	0.666666666667	2.0	0.5	2.0
2001-04-17 00:00:00+00:00	4	0.190384615385	0.1	1.0	0.761538461538	2.25	9.0	0.4	4.0
2001-04-18 00:00:00+00:00	1	0.736842105263	-0.578947368421	-11.0	0.736842105263	14.0	14.0	-0.578947368421	-11.0
2001-04-19 00:00:00+00:00	5	0.597469635628	-0.301163967611	-7.0	2.98734817814	11.8	59.0	-1.50581983806	-35.0
2001-04-20 00:00:00+00:00	2	0.0	1.25	1.5	0.0	0.0	0.0	2.5	3.0
2001-04-21 00:00:00+00:00	4	0.325	-0.0833333333333	-1.25	1.3	3.25	13.0	-0.333333333333	-5.0
2001-04-23 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-04-24 00:00:00+00:00	7	0.892857142857	-0.72619047619	-0.857142857143	6.25	1.28571428571	9.0	-5.08333333333	-6.0
2001-04-25 00:00:00+00:00	4	0.591666666667	-0.397222222222	-1.25	2.36666666667	2.75	11.0	-1.58888888889	-5.0
2001-04-26 00:00:00+00:00	3	0.612745098039	0.274509803922	1.33333333333	1.83823529412	4.0	12.0	0.823529411765	4.0
2001-04-27 00:00:00+00:00	4	0.0657894736842	0.427631578947	1.375	0.263157894737	1.25	5.0	1.71052631579	5.5
2001-04-28 00:00:00+00:00	1	0.0	0.333333333333	1.0	0.0	0.0	0.0	0.333333333333	1.0
2001-04-29 00:00:00+00:00	1	0.4	0.4	2.0	0.4	2.0	2.0	0.4	2.0
2001-04-30 00:00:00+00:00	5	0.425	0.0	0.6	2.125	0.6	3.0	0.0	3.0
2001-05-01 00:00:00+00:00	2	0.678571428571	-0.375	-2.25	1.35714285714	6.5	13.0	-0.75	-4.5
2001-05-02 00:00:00+00:00	2	0.0	0.964285714286	0.5	0.0	0.0	0.0	1.92857142857	1.0
2001-05-03 00:00:00+00:00	2	0.0625	0.5625	1.0	0.125	0.5	1.0	1.125	2.0
2001-05-04 00:00:00+00:00	1	0.555555555556	-0.222222222222	-4.0	0.555555555556	10.0	10.0	-0.222222222222	-4.0
2001-05-05 00:00:00+00:00	1	0.583333333333	-0.25	-6.0	0.583333333333	14.0	14.0	-0.25	-6.0
2001-05-06 00:00:00+00:00	1	2.33333333333	-2.33333333333	-7.0	2.33333333333	7.0	7.0	-2.33333333333	-7.0
2001-05-08 00:00:00+00:00	4	0.09375	-0.03125	-0.25	0.375	0.75	3.0	-0.125	-1.0
2001-05-09 00:00:00+00:00	6	0.798611111111	-0.5	-2.33333333333	4.79166666667	3.66666666667	22.0	-3.0	-14.0
2001-05-10 00:00:00+00:00	1	0.866666666667	-0.8	-12.0	0.866666666667	13.0	13.0	-0.8	-12.0
2001-05-11 00:00:00+00:00	7	0.113575865129	0.131322094055	-1.42857142857	0.795031055901	2.28571428571	16.0	0.919254658385	-10.0
2001-05-12 00:00:00+00:00	2	0.219444444444	0.508333333333	5.0	0.438888888889	2.0	4.0	1.01666666667	10.0
2001-05-13 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-05-14 00:00:00+00:00	5	0.404365079365	0.0793650793651	1.6	2.02182539683	4.4	22.0	0.396825396825	8.0
2001-05-15 00:00:00+00:00	2	0.791666666667	-0.458333333333	-1.75	1.58333333333	2.75	5.5	-0.916666666667	-3.5
2001-05-16 00:00:00+00:00	8	0.522664835165	0.1125	-1.3125	4.18131868132	3.3125	26.5	0.9	-10.5
2001-05-17 00:00:00+00:00	2	0.0	0.5	0.5	0.0	0.0	0.0	1.0	1.0
2001-05-18 00:00:00+00:00	6	0.20202020202	0.582611832612	3.75	1.21212121212	1.5	9.0	3.49567099567	22.5
2001-05-19 00:00:00+00:00	2	0.25	-0.25	-0.5	0.5	0.5	1.0	-0.5	-1.0
2001-05-21 00:00:00+00:00	6	0.25	-0.0795454545455	0.75	1.5	1.41666666667	8.5	-0.477272727273	4.5
2001-05-22 00:00:00+00:00	5	0.4	-0.2	0.2	2.0	0.4	2.0	-1.0	1.0
2001-05-24 00:00:00+00:00	3	1.0	-1.0	-1.0	3.0	1.0	3.0	-3.0	-3.0
